Region;Delegation;Sown Year;Sown Area (khas);Harvested Area (khas);Yield by Delegation (tn/has);Production (kTn);ENSO;Month;PH /HW;Protein;
N BA;PERGAMINO;2017;166;195,3;4,7;917,91;LA NIÑA;Aug;80,92815782;9,483505498;
SW BA;PIGUE;2017;303;252,84;3,1;783,804;LA NIÑA;Aug;83,38942598;10,74009166;
C BA;SALIQUELLO;2017;99;111,72;3;335,16;LA NIÑA;Aug;76,62537014;10,78024067;
SE BA;TANDIL;2017;280;285;4,7;1339,5;LA NIÑA;Aug;81,5196386;10,57028928;
SE BA;TRES ARROYOS;2017;399,5;421,8;3,95;1666,11;LA NIÑA;Aug;83,06018768;10,73376444;
C BA;25 DE MAYO;2017;118;110,74;4;442,96;LA NIÑA;Aug;82,80827151;10,91394083;
S SFE;CASILDA;2017;155;175,42;4,5;789,39;LA NIÑA;Aug;81,17082383;9,212613255;
C SFE;CDA GOMEZ;2017;273;277,4;3,7;1026,38;LA NIÑA;Aug;79,31851923;9,579550134;
N SFE;RAFAELA;2017;274;309,7;3;929,1;LA NIÑA;Aug;79,7092382;10,53109209;
N SFE;AVELLANEDA;2017;109;118,75;2,2;261,25;LA NIÑA;Aug;80,26346519;10,94694053;
S SFE;VDO TUERTO;2017;130;142,025;4,6;653,315;LA NIÑA;Aug;82,7;9,76;
S CBA;LABOULAYE;2017;100;126,35;3,6;454,86;LA NIÑA;Aug;81,08728274;10,04917992;
E CBA;M JUAREZ;2017;330;339,5;4,9;1663,55;LA NIÑA;Aug;80,62324343;9,515085922;
S CBA;RIO IV;2017;169;156,75;3,3;517,275;LA NIÑA;Aug;81,26325599;11,39955481;
N CBA;S FRANCISCO;2017;430;362,6;2,7;979,02;LA NIÑA;Aug;79,54924058;10,74178832;
C CBA;VILLA MARIA;2017;270;227,36;3;682,08;LA NIÑA;Aug;80,63463467;9,966387116;
ER;PARANA;2017;119;155,2;2,5;388;LA NIÑA;Aug;80,66793513;10,43771651;
ER;ROS DEL TALA;2017;179;244,53;2,7;660,231;LA NIÑA;Aug;79,60395635;10,40714738;
S LP;SANTA ROSA;2017;185,85;187,18;2,5;467,95;LA NIÑA;Aug;80,5395565;10,085699;
N LP;GRAL PICO;2017;80;149,15;3,5;522,025;LA NIÑA;Aug;82,28271325;11,06162421;
NEA;Chaco North;2017;20;24,25;1,4;33,95;LA NIÑA;Aug;78,975;11,2;
NEA;Chaco Central/SW;2017;80;97;1,5;145,5;LA NIÑA;Aug;78,975;11,2;
NEA;Chaco East;2017;15;4,85;1,1;5,335;LA NIÑA;Aug;78,975;11,2;
NOA;Salta Centro/Sur;2017;70;53,35;1,4;74,69;LA NIÑA;Aug;79,85;10,6;
C BA;BRAGADO;2017;128;146,02;4,7;686,294;LA NIÑA;Sep;82,05951478;9,98619492;
SW BA;B BLANCA;2017;115,5;98;1,5;147;LA NIÑA;Sep;82,75516005;11,28512714;
N BA;JUNIN;2017;120;146,3;4,8;702,24;LA NIÑA;Sep;83,08858467;9,138284628;
N BA;PERGAMINO;2017;166;195,3;4,7;917,91;LA NIÑA;Sep;80,92815782;9,483505498;
SW BA;PIGUE;2017;303;252,84;3,1;783,804;LA NIÑA;Sep;83,38942598;10,74009166;
C BA;SALIQUELLO;2017;99;111,72;3;335,16;LA NIÑA;Sep;76,62537014;10,78024067;
SE BA;TANDIL;2017;280;285;4,7;1339,5;LA NIÑA;Sep;81,5196386;10,57028928;
SE BA;TRES ARROYOS;2017;399,5;421,8;3,95;1666,11;LA NIÑA;Sep;83,06018768;10,73376444;
C BA;25 DE MAYO;2017;118;110,74;4;442,96;LA NIÑA;Sep;82,80827151;10,91394083;
S SFE;CASILDA;2017;155;175,42;4,5;789,39;LA NIÑA;Sep;81,17082383;9,212613255;
C SFE;CDA GOMEZ;2017;273;277,4;3,7;1026,38;LA NIÑA;Sep;79,31851923;9,579550134;
N SFE;RAFAELA;2017;274;309,7;3;929,1;LA NIÑA;Sep;79,7092382;10,53109209;
N SFE;AVELLANEDA;2017;109;118,75;2,2;261,25;LA NIÑA;Sep;80,26346519;10,94694053;
S SFE;VDO TUERTO;2017;130;142,025;4,6;653,315;LA NIÑA;Sep;82,7;9,76;
S CBA;LABOULAYE;2017;100;126,35;3,6;454,86;LA NIÑA;Sep;81,08728274;10,04917992;
E CBA;M JUAREZ;2017;330;339,5;4,9;1663,55;LA NIÑA;Sep;80,62324343;9,515085922;
S CBA;RIO IV;2017;169;156,75;3,3;517,275;LA NIÑA;Sep;81,26325599;11,39955481;
N CBA;S FRANCISCO;2017;430;362,6;2,7;979,02;LA NIÑA;Sep;79,54924058;10,74178832;
C CBA;VILLA MARIA;2017;270;227,36;3;682,08;LA NIÑA;Sep;80,63463467;9,966387116;
ER;PARANA;2017;119;155,2;2,5;388;LA NIÑA;Sep;80,66793513;10,43771651;
ER;ROS DEL TALA;2017;179;244,53;2,7;660,231;LA NIÑA;Sep;79,60395635;10,40714738;
S LP;SANTA ROSA;2017;185,85;187,18;2,5;467,95;LA NIÑA;Sep;80,5395565;10,085699;
N LP;GRAL PICO;2017;80;149,15;3,5;522,025;LA NIÑA;Sep;82,28271325;11,06162421;
NEA;Chaco North;2017;20;24,25;1,4;33,95;LA NIÑA;Sep;78,975;11,2;
NEA;Chaco Central/SW;2017;80;97;1,5;145,5;LA NIÑA;Sep;78,975;11,2;
NEA;Chaco East;2017;15;4,85;1,1;5,335;LA NIÑA;Sep;78,975;11,2;
NOA;Salta Centro/Sur;2017;70;53,35;1,4;74,69;LA NIÑA;Sep;79,85;10,6;
C BA;BRAGADO;2017;128;146,02;4,7;686,294;LA NIÑA;Oct;82,05951478;9,98619492;
SW BA;B BLANCA;2017;115,5;98;1,5;147;LA NIÑA;Oct;82,75516005;11,28512714;
N BA;JUNIN;2017;120;146,3;4,8;702,24;LA NIÑA;Oct;83,08858467;9,138284628;
N BA;PERGAMINO;2017;166;195,3;4,7;917,91;LA NIÑA;Oct;80,92815782;9,483505498;
SW BA;PIGUE;2017;303;252,84;3,1;783,804;LA NIÑA;Oct;83,38942598;10,74009166;
C BA;SALIQUELLO;2017;99;111,72;3;335,16;LA NIÑA;Oct;76,62537014;10,78024067;
SE BA;TANDIL;2017;280;285;4,7;1339,5;LA NIÑA;Oct;81,5196386;10,57028928;
SE BA;TRES ARROYOS;2017;399,5;421,8;3,95;1666,11;LA NIÑA;Oct;83,06018768;10,73376444;
C BA;25 DE MAYO;2017;118;110,74;4;442,96;LA NIÑA;Oct;82,80827151;10,91394083;
S SFE;CASILDA;2017;155;175,42;4,5;789,39;LA NIÑA;Oct;81,17082383;9,212613255;
C SFE;CDA GOMEZ;2017;273;277,4;3,7;1026,38;LA NIÑA;Oct;79,31851923;9,579550134;
N SFE;RAFAELA;2017;274;309,7;3;929,1;LA NIÑA;Oct;79,7092382;10,53109209;
N SFE;AVELLANEDA;2017;109;118,75;2,2;261,25;LA NIÑA;Oct;80,26346519;10,94694053;
S SFE;VDO TUERTO;2017;130;142,025;4,6;653,315;LA NIÑA;Oct;82,7;9,76;
S CBA;LABOULAYE;2017;100;126,35;3,6;454,86;LA NIÑA;Oct;81,08728274;10,04917992;
E CBA;M JUAREZ;2017;330;339,5;4,9;1663,55;LA NIÑA;Oct;80,62324343;9,515085922;
S CBA;RIO IV;2017;169;156,75;3,3;517,275;LA NIÑA;Oct;81,26325599;11,39955481;
N CBA;S FRANCISCO;2017;430;362,6;2,7;979,02;LA NIÑA;Oct;79,54924058;10,74178832;
C CBA;VILLA MARIA;2017;270;227,36;3;682,08;LA NIÑA;Oct;80,63463467;9,966387116;
ER;PARANA;2017;119;155,2;2,5;388;LA NIÑA;Oct;80,66793513;10,43771651;
ER;ROS DEL TALA;2017;179;244,53;2,7;660,231;LA NIÑA;Oct;79,60395635;10,40714738;
S LP;SANTA ROSA;2017;185,85;187,18;2,5;467,95;LA NIÑA;Oct;80,5395565;10,085699;
N LP;GRAL PICO;2017;80;149,15;3,5;522,025;LA NIÑA;Oct;82,28271325;11,06162421;
NEA;Chaco North;2017;20;24,25;1,4;33,95;LA NIÑA;Oct;78,975;11,2;
NEA;Chaco Central/SW;2017;80;97;1,5;145,5;LA NIÑA;Oct;78,975;11,2;
NEA;Chaco East;2017;15;4,85;1,1;5,335;LA NIÑA;Oct;78,975;11,2;
NOA;Salta Centro/Sur;2017;70;53,35;1,4;74,69;LA NIÑA;Oct;79,85;10,6;
C BA;BRAGADO;2017;128;146,02;4,7;686,294;LA NIÑA;Nov;82,05951478;9,98619492;
SW BA;B BLANCA;2017;115,5;98;1,5;147;LA NIÑA;Nov;82,75516005;11,28512714;
N BA;JUNIN;2017;120;146,3;4,8;702,24;LA NIÑA;Nov;83,08858467;9,138284628;
N BA;PERGAMINO;2017;166;195,3;4,7;917,91;LA NIÑA;Nov;80,92815782;9,483505498;
SW BA;PIGUE;2017;303;252,84;3,1;783,804;LA NIÑA;Nov;83,38942598;10,74009166;
C BA;SALIQUELLO;2017;99;111,72;3;335,16;LA NIÑA;Nov;76,62537014;10,78024067;
SE BA;TANDIL;2017;280;285;4,7;1339,5;LA NIÑA;Nov;81,5196386;10,57028928;
SE BA;TRES ARROYOS;2017;399,5;421,8;3,95;1666,11;LA NIÑA;Nov;83,06018768;10,73376444;
C BA;25 DE MAYO;2017;118;110,74;4;442,96;LA NIÑA;Nov;82,80827151;10,91394083;
S SFE;CASILDA;2017;155;175,42;4,5;789,39;LA NIÑA;Nov;81,17082383;9,212613255;
C SFE;CDA GOMEZ;2017;273;277,4;3,7;1026,38;LA NIÑA;Nov;79,31851923;9,579550134;
N SFE;RAFAELA;2017;274;309,7;3;929,1;LA NIÑA;Nov;79,7092382;10,53109209;
N SFE;AVELLANEDA;2017;109;118,75;2,2;261,25;LA NIÑA;Nov;80,26346519;10,94694053;
S SFE;VDO TUERTO;2017;130;142,025;4,6;653,315;LA NIÑA;Nov;82,7;9,76;
S CBA;LABOULAYE;2017;100;126,35;3,6;454,86;LA NIÑA;Nov;81,08728274;10,04917992;
E CBA;M JUAREZ;2017;330;339,5;4,9;1663,55;LA NIÑA;Nov;80,62324343;9,515085922;
S CBA;RIO IV;2017;169;156,75;3,3;517,275;LA NIÑA;Nov;81,26325599;11,39955481;
N CBA;S FRANCISCO;2017;430;362,6;2,7;979,02;LA NIÑA;Nov;79,54924058;10,74178832;
C CBA;VILLA MARIA;2017;270;227,36;3;682,08;LA NIÑA;Nov;80,63463467;9,966387116;
ER;PARANA;2017;119;155,2;2,5;388;LA NIÑA;Nov;80,66793513;10,43771651;
ER;ROS DEL TALA;2017;179;244,53;2,7;660,231;LA NIÑA;Nov;79,60395635;10,40714738;
S LP;SANTA ROSA;2017;185,85;187,18;2,5;467,95;LA NIÑA;Nov;80,5395565;10,085699;
N LP;GRAL PICO;2017;80;149,15;3,5;522,025;LA NIÑA;Nov;82,28271325;11,06162421;
NEA;Chaco North;2017;20;24,25;1,4;33,95;LA NIÑA;Nov;78,975;11,2;
NEA;Chaco Central/SW;2017;80;97;1,5;145,5;LA NIÑA;Nov;78,975;11,2;
NEA;Chaco East;2017;15;4,85;1,1;5,335;LA NIÑA;Nov;78,975;11,2;
NOA;Salta Centro/Sur;2017;70;53,35;1,4;74,69;LA NIÑA;Nov;79,85;10,6;
C BA;BRAGADO;2017;128;146,02;4,7;686,294;LA NIÑA;Dec;82,05951478;9,98619492;
SW BA;B BLANCA;2017;115,5;98;1,5;147;LA NIÑA;Dec;82,75516005;11,28512714;
N BA;JUNIN;2017;120;146,3;4,8;702,24;LA NIÑA;Dec;83,08858467;9,138284628;
N BA;PERGAMINO;2017;166;195,3;4,7;917,91;LA NIÑA;Dec;80,92815782;9,483505498;
SW BA;PIGUE;2017;303;252,84;3,1;783,804;LA NIÑA;Dec;83,38942598;10,74009166;
C BA;SALIQUELLO;2017;99;111,72;3;335,16;LA NIÑA;Dec;76,62537014;10,78024067;
SE BA;TANDIL;2017;280;285;4,7;1339,5;LA NIÑA;Dec;81,5196386;10,57028928;
SE BA;TRES ARROYOS;2017;399,5;421,8;3,95;1666,11;LA NIÑA;Dec;83,06018768;10,73376444;
C BA;25 DE MAYO;2017;118;110,74;4;442,96;LA NIÑA;Dec;82,80827151;10,91394083;
S SFE;CASILDA;2017;155;175,42;4,5;789,39;LA NIÑA;Dec;81,17082383;9,212613255;
C SFE;CDA GOMEZ;2017;273;277,4;3,7;1026,38;LA NIÑA;Dec;79,31851923;9,579550134;
N SFE;RAFAELA;2017;274;309,7;3;929,1;LA NIÑA;Dec;79,7092382;10,53109209;
N SFE;AVELLANEDA;2017;109;118,75;2,2;261,25;LA NIÑA;Dec;80,26346519;10,94694053;
S SFE;VDO TUERTO;2017;130;142,025;4,6;653,315;LA NIÑA;Dec;82,7;9,76;
S CBA;LABOULAYE;2017;100;126,35;3,6;454,86;LA NIÑA;Dec;81,08728274;10,04917992;
E CBA;M JUAREZ;2017;330;339,5;4,9;1663,55;LA NIÑA;Dec;80,62324343;9,515085922;
S CBA;RIO IV;2017;169;156,75;3,3;517,275;LA NIÑA;Dec;81,26325599;11,39955481;
N CBA;S FRANCISCO;2017;430;362,6;2,7;979,02;LA NIÑA;Dec;79,54924058;10,74178832;
C CBA;VILLA MARIA;2017;270;227,36;3;682,08;LA NIÑA;Dec;80,63463467;9,966387116;
ER;PARANA;2017;119;155,2;2,5;388;LA NIÑA;Dec;80,66793513;10,43771651;
ER;ROS DEL TALA;2017;179;244,53;2,7;660,231;LA NIÑA;Dec;79,60395635;10,40714738;
S LP;SANTA ROSA;2017;185,85;187,18;2,5;467,95;LA NIÑA;Dec;80,5395565;10,085699;
N LP;GRAL PICO;2017;80;149,15;3,5;522,025;LA NIÑA;Dec;82,28271325;11,06162421;
NEA;Chaco North;2017;20;24,25;1,4;33,95;LA NIÑA;Dec;78,975;11,2;
NEA;Chaco Central/SW;2017;80;97;1,5;145,5;LA NIÑA;Dec;78,975;11,2;
NEA;Chaco East;2017;15;4,85;1,1;5,335;LA NIÑA;Dec;78,975;11,2;
NOA;Salta Centro/Sur;2017;70;53,35;1,4;74,69;LA NIÑA;Dec;79,85;10,6;
C BA;BRAGADO;2018;149;146,02;4;584,08;EL NIÑO;April;77,61146916;12,88256737;
C BA;BOLIVAR;2018;100;98;4,1;401,8;EL NIÑO;April;74,5;11,6;
SW BA;B BLANCA;2018;100;98;2,2;215,6;EL NIÑO;April;80,78218017;9,384481063;
N BA;JUNIN;2018;154;146,3;4,7;687,61;EL NIÑO;April;82,1;13,6;
W BA;LINCOLN;2018;215;195,65;4,4;860,86;EL NIÑO;April;77,68934355;12,54235835;
N BA;PERGAMINO;2018;210;195,3;4,6;898,38;EL NIÑO;April;79,73101353;12,1275627;
SW BA;PIGUE;2018;258;252,84;3,3;834,372;EL NIÑO;April;80,93573702;12,93920418;
C BA;SALIQUELLO;2018;114;111,72;3,1;346,332;EL NIÑO;April;74,48931794;12,54052819;
SE BA;TANDIL;2018;300;285;4,4;1254;EL NIÑO;April;77,12150321;12,76489445;
SE BA;TRES ARROYOS;2018;444;421,8;4;1687,2;EL NIÑO;April;79,86889953;12,9562991;
C BA;25 DE MAYO;2018;113;110,74;3,7;409,738;EL NIÑO;April;78,6;13,6;
S CBA;LABOULAYE;2018;133;126,35;3;379,05;EL NIÑO;April;81,55553855;13,825;
E CBA;M JUAREZ;2018;350;339,5;2,7;916,65;EL NIÑO;April;76,68045809;14,07462276;
S CBA;RIO IV;2018;165;156,75;2,1;329,175;EL NIÑO;April;79,31503933;14,29094947;
N CBA;S FRANCISCO;2018;370;362,6;2,2;797,72;EL NIÑO;April;78,03566018;13,82645034;
C CBA;VILLA MARIA;2018;232;227,36;2,6;591,136;EL NIÑO;April;78,23984623;14,19868189;
NEA;Chaco North;2018;25;24,25;1,9;46,075;EL NIÑO;April;79,15;13,8;
C BA;BRAGADO;2018;149;146,02;4;584,08;EL NIÑO;May;77,61146916;12,88256737;
C BA;BOLIVAR;2018;100;98;4,1;401,8;EL NIÑO;May;74,5;11,6;
SW BA;B BLANCA;2018;100;98;2,2;215,6;EL NIÑO;May;80,78218017;9,384481063;
N BA;JUNIN;2018;154;146,3;4,7;687,61;EL NIÑO;May;82,1;13,6;
W BA;LINCOLN;2018;215;195,65;4,4;860,86;EL NIÑO;May;77,68934355;12,54235835;
N BA;PERGAMINO;2018;210;195,3;4,6;898,38;EL NIÑO;May;79,73101353;12,1275627;
SW BA;PIGUE;2018;258;252,84;3,3;834,372;EL NIÑO;May;80,93573702;12,93920418;
C BA;SALIQUELLO;2018;114;111,72;3,1;346,332;EL NIÑO;May;74,48931794;12,54052819;
SE BA;TANDIL;2018;300;285;4,4;1254;EL NIÑO;May;77,12150321;12,76489445;
SE BA;TRES ARROYOS;2018;444;421,8;4;1687,2;EL NIÑO;May;79,86889953;12,9562991;
C BA;25 DE MAYO;2018;113;110,74;3,7;409,738;EL NIÑO;May;78,6;13,6;
S CBA;LABOULAYE;2018;133;126,35;3;379,05;EL NIÑO;May;81,55553855;13,825;
E CBA;M JUAREZ;2018;350;339,5;2,7;916,65;EL NIÑO;May;76,68045809;14,07462276;
S CBA;RIO IV;2018;165;156,75;2,1;329,175;EL NIÑO;May;79,31503933;14,29094947;
N CBA;S FRANCISCO;2018;370;362,6;2,2;797,72;EL NIÑO;May;78,03566018;13,82645034;
C CBA;VILLA MARIA;2018;232;227,36;2,6;591,136;EL NIÑO;May;78,23984623;14,19868189;
NEA;Chaco North;2018;25;24,25;1,9;46,075;EL NIÑO;May;79,15;13,8;
C BA;BRAGADO;2018;149;146,02;4;584,08;EL NIÑO;June;77,61146916;12,88256737;
C BA;BOLIVAR;2018;100;98;4,1;401,8;EL NIÑO;June;74,5;11,6;
SW BA;B BLANCA;2018;100;98;2,2;215,6;EL NIÑO;June;80,78218017;9,384481063;
N BA;JUNIN;2018;154;146,3;4,7;687,61;EL NIÑO;June;82,1;13,6;
W BA;LINCOLN;2018;215;195,65;4,4;860,86;EL NIÑO;June;77,68934355;12,54235835;
N BA;PERGAMINO;2018;210;195,3;4,6;898,38;EL NIÑO;June;79,73101353;12,1275627;
SW BA;PIGUE;2018;258;252,84;3,3;834,372;EL NIÑO;June;80,93573702;12,93920418;
C BA;SALIQUELLO;2018;114;111,72;3,1;346,332;EL NIÑO;June;74,48931794;12,54052819;
SE BA;TANDIL;2018;300;285;4,4;1254;EL NIÑO;June;77,12150321;12,76489445;
SE BA;TRES ARROYOS;2018;444;421,8;4;1687,2;EL NIÑO;June;79,86889953;12,9562991;
C BA;25 DE MAYO;2018;113;110,74;3,7;409,738;EL NIÑO;June;78,6;13,6;
S CBA;LABOULAYE;2018;133;126,35;3;379,05;EL NIÑO;June;81,55553855;13,825;
E CBA;M JUAREZ;2018;350;339,5;2,7;916,65;EL NIÑO;June;76,68045809;14,07462276;
S CBA;RIO IV;2018;165;156,75;2,1;329,175;EL NIÑO;June;79,31503933;14,29094947;
N CBA;S FRANCISCO;2018;370;362,6;2,2;797,72;EL NIÑO;June;78,03566018;13,82645034;
C CBA;VILLA MARIA;2018;232;227,36;2,6;591,136;EL NIÑO;June;78,23984623;14,19868189;
NEA;Chaco North;2018;25;24,25;1,9;46,075;EL NIÑO;June;79,15;13,8;
C BA;BRAGADO;2018;149;146,02;4;584,08;EL NIÑO;Jul;77,61146916;12,88256737;
C BA;BOLIVAR;2018;100;98;4,1;401,8;EL NIÑO;Jul;74,5;11,6;
SW BA;B BLANCA;2018;100;98;2,2;215,6;EL NIÑO;Jul;80,78218017;9,384481063;
N BA;JUNIN;2018;154;146,3;4,7;687,61;EL NIÑO;Jul;82,1;13,6;
W BA;LINCOLN;2018;215;195,65;4,4;860,86;EL NIÑO;Jul;77,68934355;12,54235835;
N BA;PERGAMINO;2018;210;195,3;4,6;898,38;EL NIÑO;Jul;79,73101353;12,1275627;
SW BA;PIGUE;2018;258;252,84;3,3;834,372;EL NIÑO;Jul;80,93573702;12,93920418;
C BA;SALIQUELLO;2018;114;111,72;3,1;346,332;EL NIÑO;Jul;74,48931794;12,54052819;
SE BA;TANDIL;2018;300;285;4,4;1254;EL NIÑO;Jul;77,12150321;12,76489445;
SE BA;TRES ARROYOS;2018;444;421,8;4;1687,2;EL NIÑO;Jul;79,86889953;12,9562991;
C BA;25 DE MAYO;2018;113;110,74;3,7;409,738;EL NIÑO;Jul;78,6;13,6;
S CBA;LABOULAYE;2018;133;126,35;3;379,05;EL NIÑO;Jul;81,55553855;13,825;
E CBA;M JUAREZ;2018;350;339,5;2,7;916,65;EL NIÑO;Jul;76,68045809;14,07462276;
S CBA;RIO IV;2018;165;156,75;2,1;329,175;EL NIÑO;Jul;79,31503933;14,29094947;
N CBA;S FRANCISCO;2018;370;362,6;2,2;797,72;EL NIÑO;Jul;78,03566018;13,82645034;
C CBA;VILLA MARIA;2018;232;227,36;2,6;591,136;EL NIÑO;Jul;78,23984623;14,19868189;
NEA;Chaco North;2018;25;24,25;1,9;46,075;EL NIÑO;Jul;79,15;13,8;
C BA;BRAGADO;2018;149;146,02;4;584,08;EL NIÑO;Aug;77,61146916;12,88256737;
C BA;BOLIVAR;2018;100;98;4,1;401,8;EL NIÑO;Aug;74,5;11,6;
SW BA;B BLANCA;2018;100;98;2,2;215,6;EL NIÑO;Aug;80,78218017;9,384481063;
N BA;JUNIN;2018;154;146,3;4,7;687,61;EL NIÑO;Aug;82,1;13,6;
W BA;LINCOLN;2018;215;195,65;4,4;860,86;EL NIÑO;Aug;77,68934355;12,54235835;
N BA;PERGAMINO;2018;210;195,3;4,6;898,38;EL NIÑO;Aug;79,73101353;12,1275627;
SW BA;PIGUE;2018;258;252,84;3,3;834,372;EL NIÑO;Aug;80,93573702;12,93920418;
C BA;SALIQUELLO;2018;114;111,72;3,1;346,332;EL NIÑO;Aug;74,48931794;12,54052819;
SE BA;TANDIL;2018;300;285;4,4;1254;EL NIÑO;Aug;77,12150321;12,76489445;
SE BA;TRES ARROYOS;2018;444;421,8;4;1687,2;EL NIÑO;Aug;79,86889953;12,9562991;
C BA;25 DE MAYO;2018;113;110,74;3,7;409,738;EL NIÑO;Aug;78,6;13,6;
S CBA;LABOULAYE;2018;133;126,35;3;379,05;EL NIÑO;Aug;81,55553855;13,825;
E CBA;M JUAREZ;2018;350;339,5;2,7;916,65;EL NIÑO;Aug;76,68045809;14,07462276;
S CBA;RIO IV;2018;165;156,75;2,1;329,175;EL NIÑO;Aug;79,31503933;14,29094947;
N CBA;S FRANCISCO;2018;370;362,6;2,2;797,72;EL NIÑO;Aug;78,03566018;13,82645034;
C CBA;VILLA MARIA;2018;232;227,36;2,6;591,136;EL NIÑO;Aug;78,23984623;14,19868189;
NEA;Chaco North;2018;25;24,25;1,9;46,075;EL NIÑO;Aug;79,15;13,8;
C BA;BRAGADO;2018;149;146,02;4;584,08;EL NIÑO;Sep;77,61146916;12,88256737;
C BA;BOLIVAR;2018;100;98;4,1;401,8;EL NIÑO;Sep;74,5;11,6;
SW BA;B BLANCA;2018;100;98;2,2;215,6;EL NIÑO;Sep;80,78218017;9,384481063;
N BA;JUNIN;2018;154;146,3;4,7;687,61;EL NIÑO;Sep;82,1;13,6;
W BA;LINCOLN;2018;215;195,65;4,4;860,86;EL NIÑO;Sep;77,68934355;12,54235835;
N BA;PERGAMINO;2018;210;195,3;4,6;898,38;EL NIÑO;Sep;79,73101353;12,1275627;
SW BA;PIGUE;2018;258;252,84;3,3;834,372;EL NIÑO;Sep;80,93573702;12,93920418;
C BA;SALIQUELLO;2018;114;111,72;3,1;346,332;EL NIÑO;Sep;74,48931794;12,54052819;
SE BA;TANDIL;2018;300;285;4,4;1254;EL NIÑO;Sep;77,12150321;12,76489445;
SE BA;TRES ARROYOS;2018;444;421,8;4;1687,2;EL NIÑO;Sep;79,86889953;12,9562991;
C BA;25 DE MAYO;2018;113;110,74;3,7;409,738;EL NIÑO;Sep;78,6;13,6;
S CBA;LABOULAYE;2018;133;126,35;3;379,05;EL NIÑO;Sep;81,55553855;13,825;
E CBA;M JUAREZ;2018;350;339,5;2,7;916,65;EL NIÑO;Sep;76,68045809;14,07462276;
S CBA;RIO IV;2018;165;156,75;2,1;329,175;EL NIÑO;Sep;79,31503933;14,29094947;
N CBA;S FRANCISCO;2018;370;362,6;2,2;797,72;EL NIÑO;Sep;78,03566018;13,82645034;
C CBA;VILLA MARIA;2018;232;227,36;2,6;591,136;EL NIÑO;Sep;78,23984623;14,19868189;
NEA;Chaco North;2018;25;24,25;1,9;46,075;EL NIÑO;Sep;79,15;13,8;
C BA;BRAGADO;2018;149;146,02;4;584,08;EL NIÑO;Oct;77,61146916;12,88256737;
C BA;BOLIVAR;2018;100;98;4,1;401,8;EL NIÑO;Oct;74,5;11,6;
SW BA;B BLANCA;2018;100;98;2,2;215,6;EL NIÑO;Oct;80,78218017;9,384481063;
N BA;JUNIN;2018;154;146,3;4,7;687,61;EL NIÑO;Oct;82,1;13,6;
W BA;LINCOLN;2018;215;195,65;4,4;860,86;EL NIÑO;Oct;77,68934355;12,54235835;
N BA;PERGAMINO;2018;210;195,3;4,6;898,38;EL NIÑO;Oct;79,73101353;12,1275627;
SW BA;PIGUE;2018;258;252,84;3,3;834,372;EL NIÑO;Oct;80,93573702;12,93920418;
C BA;SALIQUELLO;2018;114;111,72;3,1;346,332;EL NIÑO;Oct;74,48931794;12,54052819;
SE BA;TANDIL;2018;300;285;4,4;1254;EL NIÑO;Oct;77,12150321;12,76489445;
SE BA;TRES ARROYOS;2018;444;421,8;4;1687,2;EL NIÑO;Oct;79,86889953;12,9562991;
C BA;25 DE MAYO;2018;113;110,74;3,7;409,738;EL NIÑO;Oct;78,6;13,6;
S CBA;LABOULAYE;2018;133;126,35;3;379,05;EL NIÑO;Oct;81,55553855;13,825;
E CBA;M JUAREZ;2018;350;339,5;2,7;916,65;EL NIÑO;Oct;76,68045809;14,07462276;
S CBA;RIO IV;2018;165;156,75;2,1;329,175;EL NIÑO;Oct;79,31503933;14,29094947;
N CBA;S FRANCISCO;2018;370;362,6;2,2;797,72;EL NIÑO;Oct;78,03566018;13,82645034;
C CBA;VILLA MARIA;2018;232;227,36;2,6;591,136;EL NIÑO;Oct;78,23984623;14,19868189;
NEA;Chaco North;2018;25;24,25;1,9;46,075;EL NIÑO;Oct;79,15;13,8;
C BA;BRAGADO;2018;149;146,02;4;584,08;EL NIÑO;Nov;77,61146916;12,88256737;
C BA;BOLIVAR;2018;100;98;4,1;401,8;EL NIÑO;Nov;74,5;11,6;
SW BA;B BLANCA;2018;100;98;2,2;215,6;EL NIÑO;Nov;80,78218017;9,384481063;
N BA;JUNIN;2018;154;146,3;4,7;687,61;EL NIÑO;Nov;82,1;13,6;
W BA;LINCOLN;2018;215;195,65;4,4;860,86;EL NIÑO;Nov;77,68934355;12,54235835;
N BA;PERGAMINO;2018;210;195,3;4,6;898,38;EL NIÑO;Nov;79,73101353;12,1275627;
SW BA;PIGUE;2018;258;252,84;3,3;834,372;EL NIÑO;Nov;80,93573702;12,93920418;
C BA;SALIQUELLO;2018;114;111,72;3,1;346,332;EL NIÑO;Nov;74,48931794;12,54052819;
SE BA;TANDIL;2018;300;285;4,4;1254;EL NIÑO;Nov;77,12150321;12,76489445;
SE BA;TRES ARROYOS;2018;444;421,8;4;1687,2;EL NIÑO;Nov;79,86889953;12,9562991;
C BA;25 DE MAYO;2018;113;110,74;3,7;409,738;EL NIÑO;Nov;78,6;13,6;
S CBA;LABOULAYE;2018;133;126,35;3;379,05;EL NIÑO;Nov;81,55553855;13,825;
E CBA;M JUAREZ;2018;350;339,5;2,7;916,65;EL NIÑO;Nov;76,68045809;14,07462276;
S CBA;RIO IV;2018;165;156,75;2,1;329,175;EL NIÑO;Nov;79,31503933;14,29094947;
